dia,mes,ano,hora,velocidade,direcao,temperatura,umidade,pressao
4,12,2015,0,5.127778,42.27739,22.44578,93.72603,1019.371
4,12,2015,1,4.943889,45.06028,22.37719,93.52941,1019.183
4,12,2015,2,4.635,39.91405,23,93.6,1019.163
4,12,2015,3,2.515556,35.22129,22.63699,93.91111,1019.344
4,12,2015,4,1.728333,333.077,22.52632,94.50794,1019.909
4,12,2015,5,5.586667,297.3554,22.83186,94.75258,1020.723
4,12,2015,6,7.507222,298.921,22.01111,88.67222,1020.824
4,12,2015,7,6.214444,304.2193,21.84444,89.49444,1020.706
4,12,2015,8,6.506667,339.1817,22.22222,86.56098,1021.162
4,12,2015,9,6.81,355.9562,21.95,85.9878,1019.984
4,12,2015,10,4.881667,346.0766,22.48276,89.23889,1019.88
4,12,2015,11,4.020556,273.889,23.72857,90.21348,1020.097
4,12,2015,12,4.820556,211.0157,24.14194,86.31875,1019.655
4,12,2015,13,5.509444,177.1817,21.08427,88.51136,1019.007
4,12,2015,14,3.629444,165.5034,20.63571,85.06111,1018.46
4,12,2015,15,3.617222,125.9102,21.10714,85.625,1018.364
4,12,2015,16,5.681176,88.37959,22.48227,87.04294,1018.435
4,12,2015,17,7.479268,73.23351,23.14634,85.28049,1018.43
4,12,2015,18,5.945556,54.99992,24.27647,80.07303,1018.804
4,12,2015,19,6.161111,49.2573,24.46512,84.60784,1019.279
4,12,2015,20,6.860556,49.55163,23.84746,89.83333,1019.639
4,12,2015,21,6.751667,54.17796,23.84722,92.81967,1019.965
4,12,2015,22,6.84,47.03152,23.38095,94.79091,1019.908
4,12,2015,23,7.085,40.55675,23.42857,95.26154,1019.455
5,12,2015,0,5.613333,33.0457,23.27778,97.10811,1019.235
5,12,2015,1,5.505,19.05,22.62162,97.52381,1019.003
5,12,2015,2,5.620556,25.24719,22.28947,96.72222,1018.835
5,12,2015,3,3.808333,19.62037,21.81818,96.52,1019.18
5,12,2015,4,3.451667,14.88758,21.74138,96.35849,1019.493
5,12,2015,5,4.431667,29.25111,21.61111,95.68966,1019.729
5,12,2015,6,1.736667,288.8797,22.17094,95.61386,1020.64
5,12,2015,7,3.66,0.215574,23.26087,94.12,1020.725
5,12,2015,8,5.747778,22.2102,25.52874,83.73333,1020.436
5,12,2015,9,6.098333,23.63349,26.73571,71.82222,1020.084
5,12,2015,10,7.501111,20.21142,29.06818,60.63333,1019.628
5,12,2015,11,7.238889,32.65412,29.91463,52.18333,1019.138
5,12,2015,12,9.562222,65.91295,29.47561,59.37222,1018.608
5,12,2015,13,12.53556,69.3977,28.61538,62.58889,1017.876
5,12,2015,14,13.175,70.18489,27.3209,66.91111,1017.456
5,12,2015,15,13.74556,66.4249,27.60452,68.03889,1017.242
5,12,2015,16,12.33611,57.98448,26.61745,69.36747,1017.296
5,12,2015,17,12.705,47.82176,25.72078,75.14205,1017.57
5,12,2015,18,10.84889,45.2876,24.71154,83.34783,1018.131
5,12,2015,19,9.617778,39.39717,24.51429,87.08696,1018.944
5,12,2015,20,9.142778,41.80231,24.57895,88.80851,1019.367
5,12,2015,21,6.685,31.0905,24.85455,89.79412,1019.973
5,12,2015,22,10.16389,37.22682,23.75735,92.67626,1020.065
5,12,2015,23,11.51889,38.72278,23.31481,94.49057,1019.128
6,12,2015,0,10.89167,13.42975,23.47059,94.57692,1019.267
6,12,2015,1,6.453889,353.1243,23.04854,93.43299,1019.652
6,12,2015,2,5.418333,333.5435,22.71523,90.44538,1019.885
6,12,2015,3,5.705,302.3833,22.45161,90.43396,1020.23
6,12,2015,4,3.777222,284.7822,21.26786,93.42157,1020.39
6,12,2015,5,2.034444,271.0821,22.30769,91.43902,1020.49
6,12,2015,6,6.157778,0.646977,22.07285,90.30137,1020.528
6,12,2015,7,6.592778,7.167132,22.29655,95.2766,1020.577
6,12,2015,8,5.938333,3.950063,23.23333,90.82558,1020.796
6,12,2015,9,6.945,5.778015,24.09444,89.53237,1020.948
6,12,2015,10,6.462778,7.689731,25.07333,88.70769,1020.848
6,12,2015,11,4.681111,358.1574,26.12778,84.26056,1020.706
6,12,2015,12,4.986111,353.858,26.98333,77.56322,1020.352
6,12,2015,13,5.736111,344.0462,28.07339,69.87222,1019.855
6,12,2015,14,3.300556,349.5669,28.96053,66.35119,1019.418
6,12,2015,15,7.397778,66.02352,28.20588,73.44444,1018.911
6,12,2015,16,8.746111,54.40012,27.61111,75.55102,1018.609
6,12,2015,17,8.323333,41.50369,26.50909,76.94949,1018.736
6,12,2015,18,8.422222,35.76933,25.60417,81.62069,1019.21
6,12,2015,19,9.033889,32.57778,24.52941,86.53448,1019.415
6,12,2015,20,8.013333,29.04867,24.35714,89.45283,1019.748
6,12,2015,21,8.758889,25.71473,24.17544,91.94545,1020.037
6,12,2015,22,8.849444,24.48062,23.96262,91.68103,1020
6,12,2015,23,9.386111,25.15165,23.18182,92.21505,1019.702
7,12,2015,0,8.776667,20.7399,23.4,92.58108,1019.409
7,12,2015,1,7.591111,18.26121,22.69231,92.78947,1019.068
7,12,2015,2,6.938889,21.52323,22.17647,93.41667,1018.801
7,12,2015,3,7.726111,15.03354,22.31429,90.84906,1018.751
7,12,2015,4,8.357778,19.56842,22.47706,87.53271,1018.861
7,12,2015,5,8.627222,20.37269,23,90.39216,1019.32
7,12,2015,6,8.445,21.48281,23.5641,88.525,1019.923
7,12,2015,7,9.092222,12.39802,25.23387,82.96154,1020.226
7,12,2015,8,8.182778,12.48465,26.27928,78.98529,1020.699
7,12,2015,9,7.481667,14.95629,27.40659,77.20149,1020.819
7,12,2015,10,6.525556,19.49905,28.55,73.28889,1020.728
7,12,2015,11,5.414444,26.27931,29.71429,68.72778,1020.516
7,12,2015,12,6.671111,67.37854,30.14063,68.11667,1019.991
7,12,2015,13,11.07556,68.49813,29.81731,70.48889,1019.223
7,12,2015,14,12.35889,62.04903,29.13793,69.88889,1018.599
7,12,2015,15,12.46167,63.69762,28.21277,71.65,1018.351
7,12,2015,16,10.55833,51.21446,27.93023,72.11364,1018.481
7,12,2015,17,9.330556,44.60943,26.49474,75.83333,1018.669
7,12,2015,18,9.031667,42.14295,24.69286,79.08462,1018.788
7,12,2015,19,7.447222,38.40098,24.63158,81.75325,1019.665
7,12,2015,20,6.913889,32.0802,25.18182,82.42105,1020.354
7,12,2015,21,6.374444,28.53543,24.37895,81.97619,1020.456
7,12,2015,22,4.091111,16.15804,23.75281,84.75,1020.717
7,12,2015,23,2.406111,311.7076,23.88889,86.11538,1020.91
8,12,2015,0,1.926111,7.507685,24.05128,85.41379,1020.702
8,12,2015,1,3.203889,50.86741,23.625,86.59322,1020.352
8,12,2015,2,6.827222,54.65826,23.4375,89.13235,1020.227
8,12,2015,3,7.021667,47.88683,23.27957,89.48077,1020.358
8,12,2015,4,6.547222,51.07374,23.48571,91.33333,1020.596
8,12,2015,5,6.646111,50.59801,23.41379,88.17593,1021.014
8,12,2015,6,4.280556,62.40105,24.5,88.11111,1021.872
8,12,2015,7,4.541111,47.98457,24.62857,84.37313,1022.514
8,12,2015,8,3.628889,58.85832,25.35821,80.54839,1022.947
8,12,2015,9,3.045,136.8699,25.9011,79.7265,1023.262
8,12,2015,10,5.763889,110.1864,25.30233,84.15663,1023.018
8,12,2015,11,8.554335,90.93857,25.18421,84.99329,1022.44
8,12,2015,12,10.30347,83.24278,25.36842,81.37572,1021.921
8,12,2015,13,10.105,86.25608,25.39394,82.42778,1021.633
8,12,2015,14,10.55611,84.16192,25.36364,83.57317,1021.272
8,12,2015,15,10.75745,80.02582,25.32031,81.90909,1020.964
8,12,2015,16,9.89823,64.62925,25.53623,80.25664,1020.91
8,12,2015,17,8.539444,54.69394,25.76692,76.96899,1021.13
